මේ වේසිට නීතිය ක්‍රියාත්මක වෙන්නෙ කවදාද ?,1
තූ ෙනදකින්,1
අම්මා ලුසීඩා කියුවම මට හිතෙන්නම ෆලූඩා කියලා. හිකිස්. ඔව් ඔව් තරුණ වයසේ ගෑණු ළමයි විවිඪ රට වලින් ආශ්‍රය කලාට කමක් නෑ. ලෙඩක් කාරියේ හදා ගත්තම තේරෙයි අප්පගේ ආදර බර පුතාට​.,0
දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව..…,0
පූදින්ෙන නැතුව ඉදිං,1
ඇමති පඩිය ඇතිද කියල අහුවම මේකි කියන්නේ වාහන් දෙකයි එයාට තියෙන්නේ කියලා. එතකොට අප්පටයි,1
මා හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ.. ඒකාබද්ධ විපක්ෂය වැනි වි…,0
උඹ එක්ක එකඟවෙන්න පුලුවන් කථාවක් තමයි අද බොලා කියලා තියෙන්නෙ...මුන්ගෙ සනුහරේම උපන් ගෙයි මරිමෝඩ හැත්තක්...මූ නීති විභාගයෙන් ලංකාවෙන්ම වැඩිම ලකුණු අරගෙන වාර්තා පිහිටුවාලු සමත් උනේ ඒත් උන්ගෙ හිතවතුන්ගෙ සියලුම නඩු වලට නීතිඥයො හොයාගෙන එන්නෙ පිටින්. ලොකු උන් වගේම පොඩි උනුත් කම්බා හොරු...මේ වසල පවුලේ සුබ සිද්දියට කාබාසිනියා කරපු මුදල් ලංකාවෙ සාවර්ධනයට යොදාගත්තා නම් ලංකාව මීට වඩා ගොඩාක් වෙනස් තැනක අද තියෙන්නෙ..තූ නෙදකින්,1
කොළඹ යුගයේදී කියලා වෙන්න ඇති මගේ හිතේ කියන්න ඇත්තේ.... හිකිස්... ඒ පවුල හරි දැන උගත් පවුලක්නේ මචෝ,0
කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය?,0
අපි බෞද්ධයෝ විදිහට ස්භාව දහමටත් මනුෂ්‍යත්වයටත් ආදරේ නිසා,0
එකට බුදියගෙන ළමයි හැදුවට පස්සෙ මොන මගුලද බං..මූට ගිහින් තියෙන්නෙ රෙජිස්ටර් කරන වියදම විතරයි,0
ගොසිප්පෝ මේවගේ අවයව වෙන්වීමකදී ගතයුතු ක්‍රියාමාර්ග හරියට දැම්මනම් මේකත් එක්ක වටිනවා නේද​? අයිස්වල දාගෙන එන්න කියුවට,0
එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂,0
ඉතිං අපිට අඩන්නද බොල කියන්නෙ...මූ හෙන මෝඩ චූන් එකක්..,0
මේක පාවිච්චි කරපන් නැත්නම්,0
